Index;Tid;I1;U1;U2;HMI_trig;IO_trig;I_95_start;I_105_start;I_95_trip;I_105_trip;Bryterfeilvern
467;1310858;39;196;197;0;0;0;0;0;0;0
468;1313671;-14;202;197;0;0;0;0;0;0;0
469;1316484;-94;199;197;0;0;0;0;0;0;0
470;1319297;-147;199;194;0;0;0;0;0;0;0
471;1322110;-219;202;194;0;0;0;0;0;0;0
472;1324923;-324;199;197;0;0;0;0;0;0;0
473;1327736;-382;202;202;0;0;0;0;0;0;0
474;1330549;-396;199;197;0;0;0;0;0;0;0
475;1333362;-338;199;194;0;0;0;0;0;0;0
476;1336175;-224;199;197;0;0;0;0;0;0;0
477;1338988;-111;196;194;0;0;0;0;0;0;0
478;1341801;-8;202;202;0;0;0;0;0;0;0
479;1344614;44;199;202;0;0;0;0;0;0;0
480;1347427;116;199;200;0;0;0;0;0;0;0
481;1350240;169;194;192;0;0;0;0;0;0;0
482;1353053;271;199;192;0;0;0;0;0;0;0
483;1355866;351;199;197;0;0;0;0;0;0;0
484;1358679;396;204;197;0;0;0;0;0;0;0
485;1361492;387;196;194;0;0;0;0;0;0;0
486;1364305;299;202;200;0;0;0;0;0;0;0
487;1367118;191;199;202;0;0;0;0;0;0;0
488;1369931;66;202;194;0;0;0;0;0;0;0
489;1372744;3;199;194;0;0;0;0;0;0;0
490;1375557;-72;199;194;0;0;0;0;0;0;0
491;1378370;-125;199;197;0;0;0;0;0;0;0
492;1381183;-186;199;197;0;0;0;0;0;0;0
493;1383996;-291;202;200;0;0;0;0;0;0;0
494;1386809;-374;202;197;0;0;0;0;0;0;0
495;1389622;-413;199;200;0;0;0;0;0;0;0
496;1392435;-377;196;197;0;0;0;0;0;0;0
497;1395248;-291;199;192;0;0;0;0;0;0;0
498;1398061;-620;199;192;0;0;0;0;0;0;0
499;1400874;-1248;199;200;0;0;0;0;0;0;0
500;1403687;-1733;199;194;0;0;0;0;0;0;0
501;1406500;-1987;204;200;0;0;0;0;0;0;0
502;1409313;-1982;199;197;0;0;0;0;0;0;0
503;1412126;-1749;199;197;0;0;0;0;0;0;0
504;1414939;-1298;202;197;0;0;0;0;0;0;0
505;1417752;-664;199;194;0;0;0;0;0;0;0
506;1420565;44;199;200;0;0;0;0;0;0;0
507;1423378;570;204;197;0;0;0;0;0;0;0
508;1426191;645;204;202;0;0;0;0;0;0;0
509;1429004;512;202;200;0;0;0;0;0;0;0
510;1431817;407;199;197;0;0;0;0;0;0;0
511;1434630;324;199;194;0;0;0;0;0;0;0
512;1437443;290;199;197;0;0;0;0;0;0;0
513;1440256;390;204;200;0;0;0;0;0;0;0
514;1443069;163;199;200;0;0;0;0;0;0;0
515;1445882;-25;202;200;0;0;0;0;0;0;0
516;1448695;-80;202;200;0;0;0;0;0;0;0
517;1451508;-80;202;194;0;0;0;0;0;0;0
518;1454321;5;199;197;0;0;0;0;0;0;0
519;1457134;105;199;197;0;0;0;0;0;0;0
520;1459947;-258;202;200;0;0;0;0;0;0;0
521;1462760;-825;202;200;0;0;0;0;0;0;0
522;1465573;-1223;204;200;0;0;0;0;0;0;0
523;1468386;-1365;204;200;0;0;0;0;0;0;0
524;1471199;-1262;199;197;0;0;0;0;0;0;0
525;1474012;-938;202;197;0;0;0;0;0;0;0
526;1476825;-413;199;194;0;0;0;0;0;0;0
527;1479638;191;202;194;0;0;0;0;0;0;0
528;1482451;664;202;200;0;0;0;0;0;0;0
